Price,Close,High,Low,Open,Volume
Ticker,INFY.NS,INFY.NS,INFY.NS,INFY.NS,INFY.NS
Date,,,,,
2010-01-04,233.19012451171875,234.74316946401387,231.6459920806175,232.95805030459172,4069264
2010-01-05,233.9710693359375,234.8055993085425,232.07438059228818,233.85056509935225,6895528
2010-01-06,230.55706787109375,239.47372912858123,229.84302022553703,239.47372912858123,6817288
2010-01-07,225.37574768066406,230.86945592650972,224.7643356883832,230.86945592650972,10892600
2010-01-08,219.9444580078125,225.21949217905782,219.39107560086762,224.8356873224514,12649312
2010-01-11,222.21600341796875,223.55930943809744,220.81915691780992,220.91734715102754,7849656
2010-01-12,230.9006805419922,231.52993936144904,223.13987987803492,223.13987987803492,24859680
2010-01-13,239.51829528808594,240.5447385136544,221.0735655206835,221.0735655206835,19704040
2010-01-14,240.076171875,241.24987880509298,236.54609498304885,239.11667049098426,8413904
2010-01-15,238.8310089111328,240.32157850316656,236.89860505674108,240.07612470896646,5049504
2010-01-18,239.79942321777344,240.09843928421037,237.06373782113857,237.68852929882982,6140088
2010-01-19,235.26974487304688,239.91998848531296,234.57356591069097,239.20594090053524,5837512
2010-01-20,237.21554565429688,238.599012947518,235.45720771079098,236.40777490876368,6091992
2010-01-21,234.31471252441406,237.84032250341122,232.06546697196336,235.9034727718843,6682792
2010-01-22,229.88760375976562,232.95799932566536,227.78115489620612,232.06543994127583,13486496
2010-01-25,226.91537475585938,229.38329271667877,224.74645111171228,227.60264111789763,6498712
2010-01-27,223.3406524658203,226.1611485907201,221.8143673353273,225.99601640262043,9840856
2010-01-28,222.40353393554688,228.0400389817733,221.310148447151,224.30022304807036,12732872
2010-01-29,220.9530792236328,223.13984975119453,214.64268863086923,218.8912582955314,15012280
2010-02-01,218.7886199951172,225.81752517599043,213.33062805360765,218.40928225519707,12308784
2010-02-02,217.780029296875,223.22910886343703,216.14664121528375,223.22910886343703,9889384
2010-02-03,220.7477569580078,223.13982018862953,218.67702378485694,218.67702378485694,6405608
